公交线路客流调查表,,,,,,,,,,,,,
调查日期：2026.4.21,调查线路：某路,,,,,,,,,,,,
发车间隔：3分钟,发车时间：7.22,到达时间：8.03,,,,,,,,,,,
站点编号,途径站点,到达时间,离站时间,上车人数,下车人数,途径站点,到达时间,离站时间,上车人数,下车人数,,,
1,东体育馆,7.22 ,7.22 ,2,0,东体育馆,8.30 ,8.30 ,1,0,,,
2,融园东,7.24 ,7.24 ,6,0,东操场,8.32 ,8.32 ,0,0,,,
3,第三食堂,7.26 ,7.27 ,0,0,理科楼,8.33 ,8.34 ,0,0,,,
4,秀园,7.28 ,7.29 ,0,3,逸夫楼,8.35 ,8.36 ,0,0,,,
5,第二食堂,7.32 ,7.33 ,2,0,1号教学楼,8.37 ,8.38 ,3,0,,,
6,综合楼,7.38 ,7.39 ,0,3,11号教学楼,8.40 ,8.41 ,0,0,,,
7,一食堂,7.43 ,7.43 ,0,0,纺化楼,8.43 ,8.44 ,0,1,,,
8,西门,7.45 ,7.46 ,2,4,西门,8.46 ,8.46 ,2,2,,,
9,纺化楼,7.48,7.48,0,0,一食堂,8.48 ,8.48 ,4,3,,,
10,11号教学楼,7.50 ,7.51,1,0,综合楼,8.52,8.53,1,0,,,
11,1号教学楼,7.53,7.54,2,0,第二食堂,8.58,8.58,1,0,,,
12,逸夫楼,7.56,7.57,1,0,秀园,9.01,9.02,0,3,,,
13,理科楼,8.00 ,8.00 ,0,0,第三食堂,9.03,9.03,0,2,,,
14,东操场,8.01 ,8.02 ,0,3, 融园东,9.05,9.06,0,1,,,
15,   东体育馆,8.03,8.03,0,3,东体育馆,9.08,9.08,0,0,,,
总结,,,,16,16,,,,12,12,,,
,,,,,,,,,,,,,
公交线路客流调查表,,,,,,,,,,,,,
调查日期：2026.4.21,调查线路：某路,,,,,,,,,,,,
发车间隔：3分钟,发车时间：7.26,到达时间：8.06,,,,,,,,,,,
站点编号,途径站点,到达时间,离站时间,上车人数,下车人数,途径站点,到达时间,离站时间,上车人数,下车人数,,,
