公交线路客流调查表,,,,,,,,,,,,,
调查日期：2026.4.21,调查线路：某路,,,,,,,,,,,,
发车间隔：1分钟,发车时间：18:02,到达时间：18.43,,,,,,,,,,,
站点编号,途径站点,到达时间,离站时间,上车人数,下车人数,途径站点,到达时间,离站时间,上车人数,下车人数,,,
1,东体育馆,18.02 ,18.02 ,3,0,东体育馆,19.15 ,19.15 ,4,0,,,
2,融园东,18.04 ,18.04 ,5,1,东操场,19.17 ,19.17 ,0,1,,,
3,第三食堂,18.06 ,18.07 ,0,1,理科楼,19.18 ,19.19 ,3,0,,,
4,秀园,18.08 ,18.09 ,1,2,逸夫楼,19.20 ,19.21 ,1,2,,,
5,第二食堂,18.12 ,18.13 ,3,0,1号教学楼,19.22 ,19.23 ,2,0,,,
6,综合楼,18.18 ,18.19 ,1,3,11号教学楼,19.25 ,19.25 ,4,1,,,
7,一食堂,18.23 ,18.23 ,0,0,纺化楼,19.28 ,19.29 ,0,1,,,
8,西门,18.25 ,18.26 ,1,4,西门,19.31 ,19.31 ,1,2,,,
9,纺化楼,18.28,18.28,1,0,一食堂,19.33 ,19.33 ,2,4,,,
10,11号教学楼,18.30 ,18.31 ,2,2,综合楼,19.37,19.38,0,0,,,
11,1号教学楼,18.33,18.34,2,0,第二食堂,19.43,19.43,0,5,,,
12,逸夫楼,18.36,18.37,0,2,秀园,19.46,19.46,5,3,,,
13,理科楼,18.40 ,18.40 ,0,0,第三食堂,19.48,19.48,2,4,,,
14,东操场,18.41 ,18.42 ,2,1, 融园东,19.50 ,19.51 ,3,2,,,
15,   东体育馆,18.43,18.43,0,5,东体育馆,19.53,19.53,0,2,,,
总结,,,,21,21,,,,27,27,,,
,,,,,,,,,,,,,
公交线路客流调查表,,,,,,,,,,,,,
调查日期：2026.4.21,调查线路：某路,,,,,,,,,,,,
发车间隔：1分钟,发车时间：18.03,到达时间：18.44,,,,,,,,,,,
站点编号,途径站点,到达时间,离站时间,上车人数,下车人数,途径站点,到达时间,离站时间,上车人数,下车人数,,,
1,东体育馆,18.03 ,18.03 ,2,0,东体育馆,19.35 ,19.35 ,1,0,,,
2,融园东,18.05 ,18.05 ,6,1,东操场,19.36 ,19.37 ,0,1,,,
3,第三食堂,18.07 ,18.08 ,1,7,理科楼,19.38 ,19.38 ,1,0,,,
4,秀园,18.09 ,18.10 ,0,0,逸夫楼,19.40 ,19.41 ,0,0,,,
5,第二食堂,18.13 ,18.14 ,3,2,1号教学楼,19.43 ,19.43 ,3,0,,,
6,综合楼,18.19 ,18.20 ,1,0,11号教学楼,19.45 ,19.46 ,2,1,,,
7,一食堂,18.24 ,18.24 ,0,0,纺化楼,19.49 ,19.50 ,1,1,,,
8,西门,18.26 ,18.27 ,1,1,西门,19.52 ,19.52 ,0,0,,,
9,纺化楼,18.29 ,18.29 ,0,1,一食堂,19.54 ,19.55 ,2,2,,,
10,11号教学楼,18.31 ,18.32 ,2,0,综合楼,19.58,19.59,0,0,,,
11,1号教学楼,18.34 ,18.35 ,0,2,第二食堂,20.02,20.03,2,1,,,
12,逸夫楼,18.37 ,18.38 ,0,1,秀园,20.06,20.06,0,5,,,
13,理科楼,18.40 ,18.41 ,0,1,第三食堂,20.08,20.08,1,2,,,
14,东操场,18.42 ,18.43 ,3,0,融园东,20.10 ,20.11 ,1,0,,,
15,   东体育馆,18.44 ,18.44 ,0,3,东体育馆,20.13,20.13,0,1,,,
总计,,,,19,19,,,,14,14,,,
,,,,,,,,,,,,,
公交线路客流调查表,,,,,,,,,,,,,
调查日期：2026.4.21,调查线路：某路,,,,,,,,,,,,
发车间隔：1分钟,发车时间：18.04,到达时间：18.45,,,,,,,,,,,
站点编号,途径站点,到达时间,离站时间,上车人数,下车人数,途径站点,到达时间,离站时间,上车人数,下车人数,,,
1,东体育馆,18.04 ,18.04 ,2,0,东体育馆,20.05 ,20.05 ,2,0,,,
2,融园东,18.06 ,18.06 ,4,1,东操场,20.06 ,20.06 ,0,1,,,
3,第三食堂,18.08 ,18.09 ,1,2,理科楼,20.07 ,20.08 ,1,0,,,
4,秀园,18.10 ,18.11 ,0,1,逸夫楼,20.10 ,20.11 ,1,0,,,
5,第二食堂,18.14 ,18.14 ,3,3,1号教学楼,20.13 ,20.13 ,1,1,,,
6,综合楼,18.20 ,18.21 ,0,0,11号教学楼,20.15 ,20.16 ,1,0,,,
7,一食堂,18.25 ,18.25 ,1,2,纺化楼,20.19 ,20.19 ,2,1,,,
8,西门,18.27 ,18.27 ,0,1,西门,20.21 ,20.21 ,0,0,,,
9,纺化楼,18.30 ,18.30 ,2,0,一食堂,20.23 ,20.23 ,1,2,,,
10,11号教学楼,18.32 ,18.33 ,0,1,综合楼,20.26 ,20.27 ,1,2,,,
11,1号教学楼,18.35 ,18.35 ,2,0,第二食堂,20.31 ,20.31 ,0,0,,,
12,逸夫楼,18.38 ,18.38 ,0,1,秀园,20.34 ,20.34 ,0,3,,,
13,    理科楼,18.41 ,18.42 ,1,3,第三食堂,20.35 ,20.36 ,3,0,,,
14,东操场,18.43 ,18.43 ,0,0,融园东,20.39 ,20.39 ,0,2,,,
15,东体育馆,18.45 ,18.45 ,0,1,东体育馆,20.41 ,20.41 ,0,1,,,
总计,,,,16,16,,,,13,13,,,
,,,,,,,,,,,,,
公交线路客流调查表（下行）,,,,,公交线路客流调查表（上行）,,,,,,,,
调查日期：2025.4.18,调查线路：某路,,,,调查日期：2025.4.18,调查线路：某路,,,,,,,
发车间隔：分钟,发车时间：,到达时间：,,,发车间隔：10分钟,发车时间：,到达时间：,,,,,,
站点编号,途径站点,上车人数,下车人数,,站点编号,途径站点,上车人数,下车人数,,,,,
1,东体育馆,7,0,,1,东体育馆,7,0,,,,,
2,融园东,15,3,,2,东操场,0,3,,,,,
3,第三食堂,2,10,,3,理科楼,5,0,,,,,
4,秀园,1,3,,4,逸夫楼,2,2,,,,,
5,第二食堂,9,5,,5,1号教学楼,6,1,,,,,
6,综合楼,2,3,,6,11号教学楼,7,2,,,,,
7,一食堂,1,2,,7,纺化楼,3,3,,,,,
8,西门,2,6,,8,西门,1,2,,,,,
9,纺化楼,3,1,,9,一食堂,5,8,,,,,
