营业时间/h,7:00-8:00,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,,,,,,,,,,,
客流量/人,200,103,100,98,102,,,,,,,,,,,
车次/h,11,6,6,6,6,,,,,,,,,,,
配车数/辆,11,6,6,6,6,,,,,,,,,,,
行车间隔/min,5.4,11,11,11,11,,,,,,,,,,,
营业时间/h,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,,,,,,,,,,,
客流量/人,120,104,106,98,97,,,,,,,,,,,
车次/h,7,6,6,6,6,,,,,,,,,,,
配车数/辆,7,6,6,6,6,,,,,,,,,,,
行车间隔/min,9,11,11,11,11,,,,,,,,,,,
营业时间/h,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,,,,,,,,,,,,
客流量/人,180,90,88,92,,,,,,,,,,,,
车次/h,10,5,5,5,,,,,,,,,,,,
配车数/辆,10,5,5,5,,,,,,,,,,,,
行车间隔/min,6,12,12,12,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
早高峰上行线路统计汇总,,,,,,,,,,,,,,,,
途径站点,上车人数,下车人数,上车人数,下车人数,平均上车人数,平均下车人数,车上人数,断面客流,,,,,,,,
东体育馆,3,0,2,0,3,0,3,18,,,,,,,,
融园东,5,1,6,1,6,1,8,48,,,,,,,,
第三食堂,0,1,1,7,1,4,5,30,,,,,,,,
秀园,1,2,0,0,1,1,5,30,,,,,,,,
第二食堂,3,0,3,2,3,1,7,42,,,,,,,,
综合楼,1,3,1,0,1,2,6,36,,,,,,,,
一食堂,0,0,0,0,0,0,6,36,,,,,,,,
西门,1,4,1,1,1,3,4,24,,,,,,,,
纺化楼,1,0,0,1,1,1,4,24,,,,,,,,
11号教学楼,2,2,2,0,2,1,5,30,,,,,,,,
1号教学楼,2,0,0,2,1,1,5,30,,,,,,,,
逸夫楼,0,2,0,1,0,2,3,18,,,,,,,,
理科楼,0,0,0,1,0,1,2,12,,,,,,,,
东操场,2,1,3,0,3,1,4,24,,,,,,,,
   东体育馆,0,5,0,3,0,4,0,0,,,,,,,,
,,,,19,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
早高峰下行线路统计汇总,上车人数,下车人数,上车人数,下车人数,平均上车人数,平均下车人数,车上人数,断面客流,,,,,,,,
途径站点,,,,,,,,,,,,,,,,
东体育馆,4,0,1,0,3,0,3,18,,,,,,,,
融园东,0,1,0,1,0,1,2,12,,,,,,,,
第三食堂,3,0,1,0,2,0,4,24,,,,,,,,
秀园,1,2,0,0,1,1,4,24,,,,,,,,
第二食堂,2,0,3,0,3,0,7,42,,,,,,,,
综合楼,4,1,2,1,3,1,9,54,,,,,,,,
一食堂,0,1,1,1,1,1,9,54,,,,,,,,
西门,1,2,0,0,1,1,9,54,,,,,,,,
纺化楼,2,4,2,2,2,3,8,48,,,,,,,,
11号教学楼,0,0,0,0,0,0,8,48,,,,,,,,
1号教学楼,0,5,2,1,1,3,6,36,,,,,,,,
逸夫楼,5,3,0,5,3,4,5,30,,,,,,,,
理科楼,2,4,1,2,2,3,4,24,,,,,,,,
东操场,3,2,1,0,2,1,5,30,,,,,,,,
   东体育馆,0,2,0,1,0,2,0,0,,,,,,,,
,,,,,,,,,,,,,,,,
